name,meaning,gender
Aaradhay,Regard; sentiment of affection; esteem; respect,Boy
Aaradhy,Adorable; Charming; Very attractive; Delightful,Boy
Aarajesh,the One who is God of Kings,Boy
Aaranay,"means Wild Forest; it signifies fertility, abundance, plentiful, greenery, generosity",Boy
Aaranyan,means Forest; signifies wild greenery,Boy
Aarav,"Peaceful, Ray; Hope; Radiating Light; Sanskrit: ""peaceful,"" ""melodious sound""",Boy
Aarhant,Protector from Enemies; A gaurdian,Boy
Aariketh,Ganesh ; God of Knowledge and Wisdom representing Lord Ganesh,Boy
Aarish,First Ray of Sun;,Boy
Aarit,One who Seeks the Right Direction; Correct Path;,Boy
Aariv,King of Wisdom ; Knowledge; Intelligence,Boy
Aarjav,One who is steadfast in Happiness and Sorrow,Boy
Aarman,Desire; Awesome; Crave; Want; Wish,Boy
Aarnav,"Ocean, Sea; Deepest sea; A variant of Arnav",Boy
Aarnes,Red Silk ; Finest like the silk,Boy
Aarnik (आर्निक),being one of a kind or unique,Boy
Aarogya (आरोग्य),the one having great health or being healthy,Boy
Aaroha,Always Ascending ; One who always arises and never falls,Boy
Aarpan,Giving Away; offering ; To donate,Boy
Aarsh,Crown; To gloat; With regal dignity and power,Boy
Aarshabh,An Another Name of Lord Sri Krishna,Boy
Aarshin,Pious; Sacred; Religious Devotion,Boy
Aarth,The meaning; Red Glimpse; God; Supreme Being; Creator,Boy
Aarul,being brilliant,Boy
Aarumugham,Another Tamil Name for God Murugan; The God with 6 faces,Boy
Aarumughasami,God Murugan; The God with 6 faces,Boy
Aarunya,"Sunshine, First rays of the sun; Radiance or Brightness of the sun",Boy
Aarurdoss,One who is in Everyone; present in everyone's life,Boy
Aarush,First Ray of Sun; Sunshine; Radiance or Brightness of the sun,Boy
Aarv,Great feel of peaceful and melodious music,Boy
Aaryaman,"Bosom Friend, Play fellow, Companion; Name of one of the old vedic deitie",Boy
Aaryash,Brilliant; Intelligent,Boy
Aaryav,Noble Person; Wise and Knowledgeable,Boy
Aaryavir,Brave Man ; Courageous Person; Fearless man,Boy
Aaryesh,King of Arya,Boy
Aarzoo,Wish; Desire; Want; Crave,Boy
Aasaithambi,Power of Self Respect,Boy
Aasamana,Power of Self Respect,Boy
Aashadhar,One who Keeps Hope; Full filler of wishes,Boy
Aashank,Faith; trust; belief,Boy
Aasharya,the Son of the Sun,Boy
Aashay,Summary; Gist; powerful; meaningful; influence; potent,Boy
Aashirbaad,The one like a blessing,Boy
Aashish,blessing; bestowment of God; Mercy of God,Boy
Aashka,Mercy of God; Blessings; bestowment of God,Boy
Aashlesh,To Embrace ; acceptance,Boy
Aashman,Son of the sun;,Boy
Aashray (आश्रय),Originated from Sasnkrit means give temporrary protection in any situation,Boy
Aashresh (आशरेश),Intelligent and quick to understand & apply ideas,Boy
Aashrit,Power of Lord Vishnu who has spear & knife to protect from agni,Boy
Aashrith,Ruler; One of the many names of Lord Vinayaka,Boy
Aashu (आशु),the another name of Lord shiva,Boy
Aashutosh,One who is easily pleased; One who Full fills Wishes Instantly,Boy
Aashvith,Ocean - a very large expanse of emotions,Boy
Aasif,An Able Minister,Boy
Aasit,Black Stone,Boy
Aasra,Sahara; Help; Anchor; To serve,Boy
Aastik,One who has faith in god; Believer in God,Boy
Aasvi,Little Mare,Boy
Aatamgosh,The inner light or soul,Boy
Aatbodh,another name of lord Brahma,Boy
Aatherv,The name of 1st Veda,Boy
Aatherya,A Disciple of Sage Vamadeva,Boy
Aathesh,The Lord Ganesha,Boy
Aathiswaran,The Fire ; Refers to the God of origin; Lord Shiva,Boy
Aathmik,Related to soul or aatma,Boy
Aathrav,"Auspicious, Lucky, It is also one of Lord Ganesha's Name",Boy
Aathreya ( आत्रेय),Progeny of athri or the disciple of sage vamadeva,Boy
Aatish (आतिश),"Fireworks, Explosive, Dynamic Person, Name of Lord Ganesh",Boy
Aatma,"Soul, Light Of The Lord; A deeply felt Emotion",Boy
Aatmabandu (आत्मबंधु),One who is friend of his own,Boy
Aatmadeva,God of the Soul; A variant name from Aatma,Boy
Aatmagupta (आत्मगुप्त),one who is self protected,Boy
Aatmaj,"Son, Beloved to soul; A variant name of Aatma",Boy
Aatmanand,The blissful Soul,Boy
Aatmavash (आत्मवश),one who is self controlled,Boy
Aatmeshwar,The one having self respect,Boy
Aatmgaurav,The one being Proud,Boy
Aatmik,Spirit; Soul; A variant name of Aatma,Boy
Aatrey,An ancient Name,Boy
Aatreya,name of a sage ; A derivative from Aatrey,Boy
Aatulaya (आतुलया),"Unique, the one who can't be compared or incomparable",Boy
Aaush,Long Life; A variant name of Aayush,Boy
Aavansh,Forthcoming Generation,Boy
Aavi,Smoke,Boy
Aayam,Dimensions; extension in time,Boy
Aayansh,Sun; like splendour or brightness of sun,Boy
Aayoush,Handsome; Good Looking,Boy
Aayu,Lifespan; Long Life; A variant of Aaush,Boy
Aayuman,having a young mind,Boy
Aayush,Long Life; Blessing; A variant name of aaush,Boy
Aayushmaan,Blessed with long life; A variant name of Aaush,Boy
Aayushman,Blessed with Long Life; A variant name of Aaush,Boy
Aazvaar (आजवार),practical and patient,Boy
Abadhya,Always Victorious; Unopposed;,Boy
Abahijeevan (अभईजीवन),Someone leading a fearless life,Boy
Abalendu,Not the Nascent Moon; The Full Moon in Sanskrit,Boy
Abani,Planet Earth,Boy
Abanimohon,the King,Boy
Abanindra,Sky ; Another variant is Abanindranath,Boy
Abanindranath,A variant of name Abanindra which means sky; A famous Bengali painter had this name,Boy
Abanish,being a King,Boy
Abayomi,Born to bring me joy; pleasant meeting,Boy
Abba,Father; Somber; Preist,Boy
Abbas,Description of a Lion; Looking Austere; Lion; Stern; Name of Mohammad's Uncle,Boy
Abdhisayana,Sleeping on the Ocean,Boy
Abeesht,Wanted; Desired; To wish; Crave,Boy
Abeeth,A person who has pratical and trustworthy personality,Boy
Aberassithan,Unbeatable; God; the supreme being,Boy
Abesh,One who has complete possession or control,Boy
Abezag,"The one is clean, pure and blessed",Boy
Abha,Shining; Luster; Glorious; Beauty; Glow,Boy
Abhaas (आभास),"The sense, awareness, feeling or reflection",Boy
Abhaidev,Free of Fear; Protecting God,Boy
Abhaijeet,Victory over Fear; Brave; Fearless,Boy
Abhaijeev,It means fearless human being,Boy
Abhaijeevan,An individual who has fearless life,Boy
Abhaijot,Bold person who is guiding by his radiance.,Boy
Abhaipreet,A person who loves somebody without any fear.,Boy
Abhairaaj,One who rules the kingdom boldly.,Boy
Abhaitek,A person who does not fear about anything as God is always with him.,Boy
Abhaiveer,The one who is brave and bold.,Boy
Abhang,One who is excellent in speaking.,Boy
Abhanja,One who is an excellent speaker,Boy
Abharan,Jewel; Precious,Boy
Abhas,Feeling; Empathise with; Compassionate,Boy
Abhasa,Splendour; Grandeur; Great Brightness,Boy
Abhash,Awareness or recognition.,Boy
Abhasvara,Shining One; Bright and Glossy,Boy
Abhat,Shining; Visible; Splendid; Glorious,Boy
Abhata,Shining; Blazing; Splendid; Glorious,Boy
Abhav,Lord Shiva; Having the ability to be different,Boy
Abhavasimha,The one who is brave and bold as a lion.,Boy
Abhay,Born son of Dharma or who is not afraid to anyone or anything.,Boy
Abhayad,Safety; Keeping safe,Boy
Abhayan,A person who is valiant.,Boy
Abhayananda,Delighting in Fearlessness; Brave; Courage,Boy
Abhayankar,He who Gives Courage; Strength,Boy
Abhayankara,The one who gives shelter.,Boy
Abhayaprada,Bestower of Safety; instiller of courage,Boy
Abhayasimha,One who is daring like a lion.,Boy
Abhayasinha,The one who is strong as a lion.,Boy
Abhayda,Fearless and brave; courageous,Boy
Abhaydatta,A bold and brave son.,Boy
Abhaysimha,As Fearless as a Lion; Symbol of Courage and brave,Boy
Abheek,Fearless; Brave; Courageous,Boy
Abheenav,New; Fresh; strange or unaccustomed,Boy
Abheenu,An individual who is famous and reliant,Boy
Abheer,A Cow-herd,Boy
Abheeran,A Cow Herd ; A variant name of Abheer,Boy
Abheerup,The Most Handsome and Wisest; utmost attractive looking,Boy
Abheeshek,Consecrating or to Crown,Boy
Abheesht,Desired; Wished; Wanted; Craved,Boy
Abheeshtha,Ones Desire; Wishes; Wants; Cravings,Boy
Abheest,Wanted; Desired; Wished; Craved,Boy
Abheet,Gallant and audacious.,Boy
Abhejay,The one who brings victory.,Boy
Abhey,Fearless; Brave; Courageous,Boy
Abhi,Fearless; Brave; Courageous,Boy
Abhibhava,Overpowering; Powerful; Victorious; Influential; Mighty; Potent,Boy
Abhibhu,To Overcome; Conquer; To gain a victory; master,Boy
Abhicandra,Having a Moon Like Face; Beautiful like a moon,Boy
Abhichandra,Having a Moon Like Face; Beautiful like a moon,Boy
Abhideep,Illuminated; Radiant; Glorious,Boy
Abhidha,Name; Word; Sound; Literal Meaning,Boy
Abhidhan,Refers to vocabulary or word list.,Boy
Abhidhar,Who Wears Serpents,Boy
Abhidharm,Highest Dharma,Boy
Abhidhyan,Dream or deep consideration.,Boy
Abhidi,Radiant; Expression; distinctive and illuminating,Boy
Abhidipa,Brightened or lightened.,Boy
Abhidyu,Heavenly; Bright; Radiant; Illuminous,Boy
Abhigam,Perception; Considerable,Boy
Abhigeet,Praised in Song,Boy
Abhignan,The one who has perfect wisdom.,Boy
Abhigyaan,Source of Knowledge; Wisdom,Boy
Abhigyan,Most Intelligent; Recollection; Wisdom; Knowledgeable,Boy
Abhihava,Most Intelligent; Recollection; Wisdom; Knowledgeable,Boy
Abhihita,Expression; Word; Name; meaning,Boy
Abhijaat,Well Born; Wise and knowledgeable,Boy
Abhijanya,Born to take the fear away.,Boy
Abhijat,Noble; Wise; Knowledgeable; Intelligent; Bright,Boy
Abhijata,The one who was born in a very decent family.,Boy
Abhijay,Victor; triumph; successful; Winner,Boy
Abhijaya,Conquest; Complete Victory; triumph; successful,Boy
Abhijeet,Variation,Boy
Abhiji,The person who is victorious; Lord Krishna,Boy
Abhijiat,Noble and wise; knowledgeable,Boy
Abhijin,The Most Auspicious Moment,Boy
Abhijit,One who is Victorious; triumph; successful,Boy
Abhijith,One who is Victorious; A variant of Abhijit; triumph; successful,Boy
Abhijnana,Reminiscence or memory.,Boy
Abhijun,Expert; Skilled; To help; experienced,Boy
Abhijvala,Blazing Forth,Boy
Abhik,Beloved; Dearest to Heart; Most Loved,Boy
Abhika,The one who is valour and pluck.,Boy
Abhikama,Fondness or wish.,Boy
Abhilash,Desire; Wish; Crave; Longing; Want,Boy
Abhilesh,Immortal; Unique; one who has no equivalent,Boy
Abhima,"The one who destroys the fear , Lord Vishnu.",Boy
Abhimaan,Pride; majestic; magnificent,Boy
Abhimakar,One who has or Gives Warmth,Boy
Abhiman,Pride; majestic; magnificent,Boy
Abhimand,Gladdening; happiness; joyful,Boy
Abhimanee,"Full of pride, A variant of Abhimaan",Boy
Abhimanuya,The Son of Arjun in Mahabharat; Pride,Boy
Abhimanya,The Son of Arjun in Mahabharat; Pride,Boy
Abhimanyu,Arjuna's Son; Pride,Boy
Abhimanyusuta,Son of Abhimanyu; Pride,Boy
Abhimoda,Joy; Delight; happiness; glad,Boy
Abhin,Different,Boy
Abhinaash (अभिनाश),"An immortal person, cannot be destroyed",Boy
Abhinabhas,Famous; renowned,Boy
Abhinamin (अभिनमीन),One who is renowned or a famous name,Boy
Abhinand,Celebrating; reason of joy; blessing,Boy
Abhinanda,To Rejoice; To Celebrate; To Praise; To Bless; Delighted,Boy
Abhinandan,Greetings; Felicitous; Welcoming; Cordial; Accept with Pleasure,Boy
Abhinandana,"Felicitous, delighting, welcoming",Boy
Abhinandh (अभिनंध),One who is celebrating or acknowledge,Boy
Abhinash,Actor; talented enactor,Boy
Abhinatha,Lord of Desires; Another Name for Kama; God of wishes,Boy
Abhinav,Brand new,Boy
Abhinava,New; Young; Fresh; Modern; A Sakta Notable for his great learning,Boy
Abhinavan (अभिनवन),"Young, fresh or modern",Boy
Abhinay,Expression; Feelings; Representation,Boy
Abhinaya (अभिनय),The acting or the one who acts in a drama,Boy
Abhinayan (अभिनयन),"One who is an actor, one who acts",Boy
Abhindra,Devender,Boy
Abhineet,Perfect ; Absolute; Thorough; Complete,Boy
Abhineeth,Forgiving; To pardon; merciful to forgive,Boy
Abhinit,Acted; Actor,Boy
Abhinita (अभिनीत ),"highly finished, well performed, ornamented",Boy
Abhinivesh,Desire; Love; affectionate,Boy
Abhinivesh (अभिनिवेश),A desire that is long cherished; persistence,Boy
Abhinn (अभिन्न),One who is different or not common,Boy
Abhinu,Brave Man; Fearless; Courageous,Boy
Abhipada,One who is fearless or take fearless steps,Boy
Abhipal,Protector; Defender; Guardian,Boy
Abhipala,The fresh moment or the new time,Boy
Abhipsa,Means Strong Desire; Wishes; Longing,Boy
Abhir,Mighty One,Boy
Abhira,"A cow-herd, one who takes care of cows",Boy
Abhiraam,Pleasing; Loving; Highly satisfying,Boy
Abhiraj,Fearless King; Courageous Ruler; Brave King,Boy
Abhiraja,One who is a great king,Boy
Abhiraksa,"One who is a protector, who protects",Boy
Abhiram,Lovely; Pleasing ; Highly Satisfying,Boy
Abhirama,The lovely or a delightful person,Boy
Abhiramana,One who Delights,Boy
Abhirath,Great Charioteer; Handsome,Boy
Abhiratha,"Handsome, It also means Great Charioteer; A variant of Abhirath",Boy
Abhiratra,Small; Humble; Softness,Boy
Abhiroop,Handsome; Pleasant; Appealing; Refined,Boy
Abhiru,Not a Coward; Strong; Powerful; Fearless; Brave,Boy
Abhiruc,The Sun,Boy
Abhiruci,Good Interest; Variant of Abhirucia which means extremely beautiful in Sanskrit,Boy
Abhirup,Pleasing; Loving; Highly satisfying,Boy
Abhisaar,"A good companion, a beautiful friend",Boy
Abhisar,Companion; Friend; Well wisher,Boy
Abhisara,To Spread Brightness ; Radiant; Luminous,Boy
Abhisek,Purification or Cleansing by worship,Boy
Abhiseka,The method of purifying and cleaning,Boy
Abhisheha,One who is full of desires,Boy
Abhishek,An auspicious bath for a deity,Boy
Abhisheka,Installed as King,Boy
Abhishesha,Desirous,Boy
Abhishikta,one who has posted as a King,Boy
Abhishikth,"means King, One who is energetic, adventurous, daring and freedom-loving",Boy
Abhishrey,The Credit of Good Deed; The Dawn of the Good,Boy
Abhisikta,One who is installed as a king on a throne,Boy
Abhisoka,Passionate; Loving; Affectionate; desirable,Boy
Abhisu,Ray of Light,Boy
Abhisumant,Radiant; bright; Luminous; Another Name of Sun,Boy
Abhisumat,Radiant; bright; Luminous; Another Name of Sun,Boy
Abhisyanta,Splendid; A Son of Kuru and Vahini; Brilliant in appearance,Boy
Abhit,Fearless; Brave; Courageous,Boy
Abhivaadan,Greeting; Welcoming; Salutation,Boy
Abhivachan,Good Word; Pleasant words,Boy
Abhivada,"A greeting, salutation of respect",Boy
Abhivadak,One who Salutes with Respect; Kind and Warmly welcoming person,Boy
Abhivadan,Greeting; Welcoming; Salutation,Boy
Abhivandan,Salutation; A derivative name from Abhivadan which means Greetings,Boy
Abhivandya,One who is Treated Respectfully; A variant of Abhivandan,Boy
Abhivanth,Royal Salute; One who is given royal respect,Boy
Abhiveer,One who Commands; One who is Surrounded by Heroes or warriors,Boy
Abhivira,Surrounded by Heroes; A Commander; Respectful warrior,Boy
Abhiyanta,An Engineer,Boy
Abhlesh,One who is unique and immortal,Boy
Abhnivesh,Long Cherished Desire; Idea; Resolution,Boy
Abhoy,"One who is not afraid of anything, fearless",Boy
Abhra,Cloud; Bearing Water; Sky,Boy
Abhrakasin,With Clouds for Shelter; An Ascetic,Boy
Abhram,Steady; Clear; tidy up; one who will not be indebted,Boy
Abhramu,One who is delightful,Boy
Abhranaga,An elephant related to heaven or sky,Boy
Abhranta,"One who is not confused or puzzled, clear",Boy
Abhraroha,One who is borne by the clouds,Boy
Abhrottha,"The thunderbolt of Lord Indra, born of clouds",Boy
Abhu,"An unborn, or a non-existent person",Boy
Abhyagni,Towards the Fire; A Son of Aitasa,Boy
Abhyas,Study; Deepfull Thought; Zealous Endeavour,Boy
Abhyuday,Progress; development; one who goes forward,Boy
Abhyudaya,Rising; Sunrise; Elevation; Increase; Prosperity,Boy
Abhyudh,A good and quick learner,Boy
Abhyudhay,The sunrise of prosperity and happiness,Boy
Abhyudita,Elevated; Prospered; Raised; established,Boy
Abichal,"un-paying, unyielding, no growth",Boy
Abij,Seedless,Boy
Abijeet,"A victorious person, conqueror",Boy
Abijith,"The one who conquers, or victorious",Boy
Abilash,"Powerful and Complete, Desire; Name of Goddess Lakshmi",Boy
Abimanyu,Arjuna's son,Boy
Abimbola,Born Wealthy,Boy
Abimola,One who is born to be rich,Boy
Abinaash,Eternal; Immortal; A person of enduring Fame,Boy
Abinaashjot,A light that cannot be destroyed,Boy
Abinash,Indestructible; one who can never be destroyed,Boy
Abinaswar,One who Never Destroys; protector,Boy
Abinav,"A new and fresh person, one who is young",Boy
Abinay,One of many names of Lord Shiva,Boy
Abinaya,The Royal Guard; God; Supreme Being,Boy
Abinesh,Eternal; Immortal; A person of enduring Fame,Boy
Abinish,Hope; symbol of faith,Boy
Abir (अबीर),"The word abir has the meaning of Fragrance, Scent, Aroma, in Hindu aspect aabir means Gulal or color",Boy
Abiral,Never ending,Boy
Abishek,Ritual; Ceremony,Boy
Abishua,Father of Salvation,Boy
Abivanth,Royal Salute,Boy
Abizer,Father of Wealth; richness,Boy
Abjayoni,Born of the Lotus; Another Name for Brahma,Boy
Abjit,Conquering Water,Boy
Abnash,That Cannot Be Destroyed,Boy
Abrik,Precious Like Gold,Boy
Abtar,In Sanskrit it meant the incarnation of a deity. In Arabic it means someone who is without progeny,Boy
Abujurayj,"A successful, kind and is endless",Boy
Abzar,Powerful; Mighty; having great power and authority,Boy
Acalapati,Lord of the Immovable; Lord of Mountain; Refers to Himalayas; Name form of Lord Shiva,Boy
Acalendra,Lord of the Immovable; Lord of Mountain; Refers to Himalayas; Name form of Lord Shiva,Boy
Acalesvara,Lord of the Immovable; Lord of Mountain; Refers to Himalayas; Name form of Lord Shiva,Boy
Acananas,"Understanding, expressive and humble being",Boy
Acanda,Not of the Hot Temper; Without Anger; Gentle; to ennoble; Kind; amiable,Boy
Acarya,Guru; Teacher; Another Name for Drona; Learned and skilled to train,Boy
Acaryanandana,Son of the Teacher; Son of Learned person; Derivative of Acarya,Boy
Acaryasuta,Son of the Teacher; Son of Learned person; Derivative of Acarya,Boy
Acaryatanaya,Son of the Teacher; Son of Learned person; Derivative of Acarya,Boy
Acchindra,Flawless; Uninterrupted; Perfect; Absolute; Thorough,Boy
Acchoda,Limpid Water; With Clear Water; Refers to a river,Boy
Acchundra,Name of a passionate and kind king,Boy
Acchutan,One of many names of Lord Vishnu;,Boy
Achal,Constant; Steady; means firm and constant like a mountain,Boy
Achalapati,One who is the owner of immovable property,Boy
Achalendra,Lord of the Immovable; Lord of Mountain; Refers to Himalayas; Name form of Lord Shiva,Boy
Achalesvara,Lord of the Immovable; Lord of Mountain; Refers to Himalayas; Name form of Lord Shiva,Boy
Achalraj,Himalayan Mountain; King of Himalayas; Lord of Mountains; Name form of Lord Shiva,Boy
Achanda,"A cool-minded person, not angry",Boy
Acharaj,Full of wondrous or wonderful,Boy
Acharya,Teacher; Another Name for Drona; A variant name of Acarya,Boy
Acharyanandana,One who is considered the son of the Teacher; A derivative from Acharya,Boy
Acharyasuta,One who is considered the son of the Teacher; A derivative from Acharya,Boy
Acharyatanya,One who is considered the son of the Teacher; A derivative from Acharya,Boy
Achindra,Flawless; Uninterrupted; Perfect; Without Faults; Absolute; Thorough,Boy
Achinta,one of many names of Lord Shiva; Vishnu,Boy
